yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.01 (213) 17:40:23    5.2   203.0   295.0
2017.08.01 (213) 17:45:11    5.3   200.0   298.0
2017.08.01 (213) 17:49:59    5.3   204.0   301.0
2017.08.01 (213) 17:55:23    5.4   204.0   295.0
2017.08.01 (213) 18:00:11    5.5   206.0   292.0
2017.08.01 (213) 18:04:59    5.6   204.0   292.0
2017.08.01 (213) 18:10:23    5.6   209.0   289.0
2017.08.01 (213) 18:15:11    5.6   210.0   281.0
2017.08.01 (213) 18:19:59    5.6   207.0   278.0
2017.08.01 (213) 18:25:23    5.6   210.0   272.0
2017.08.01 (213) 18:30:11    5.6   204.0   271.0
2017.08.01 (213) 18:34:59    5.5   207.0   275.0
2017.08.01 (213) 18:40:23    5.5   212.0   272.0
2017.08.01 (213) 18:45:11    5.6   215.0   272.0
2017.08.01 (213) 18:49:59    5.6   210.0   272.0
2017.08.01 (213) 18:55:23    5.7   218.0   266.0
2017.08.01 (213) 19:00:11    5.6   225.0   259.0
2017.08.01 (213) 19:04:59    5.7   225.0   251.0
2017.08.01 (213) 19:10:23    5.6   222.0   251.0
2017.08.01 (213) 19:15:11    5.6   222.0   253.0
2017.08.01 (213) 19:19:59    5.5   225.0   251.0
2017.08.01 (213) 19:25:23    5.4   225.0   241.0
2017.08.01 (213) 19:30:11    5.4   221.0   248.0
2017.08.01 (213) 19:34:59    5.3   227.0   248.0
2017.08.01 (213) 19:40:23    5.2   224.0   247.0
2017.08.01 (213) 19:45:11    5.3   224.0   241.0
2017.08.01 (213) 19:49:59    5.3   225.0   238.0
2017.08.01 (213) 19:55:23    5.3   221.0   238.0
2017.08.01 (213) 20:00:11    5.2   221.0   236.0
2017.08.01 (213) 20:04:59    5.1   216.0   228.0
2017.08.01 (213) 20:10:23    5.1   213.0   222.0
2017.08.01 (213) 20:15:11    4.8   210.0   222.0
2017.08.01 (213) 20:19:59    4.6   204.0   218.0
2017.08.01 (213) 20:25:23    4.5   206.0   221.0
2017.08.01 (213) 20:30:11    4.3   206.0   222.0
2017.08.01 (213) 20:34:59    3.9   203.0   216.0
2017.08.01 (213) 20:40:23    3.9   203.0   222.0
2017.08.01 (213) 20:45:11    3.7   204.0   224.0
2017.08.01 (213) 20:49:59    3.5   203.0   227.0
2017.08.01 (213) 20:55:23    3.4   201.0   233.0
2017.08.01 (213) 21:00:11    3.2   206.0   239.0
2017.08.01 (213) 21:04:59    3.2   209.0   257.0
2017.08.01 (213) 21:10:23    3.2   207.0   259.0
2017.08.01 (213) 21:15:11    3.2   219.0   278.0
2017.08.01 (213) 21:19:59    3.1   218.0   256.0
2017.08.01 (213) 21:25:23    3.3   233.0   275.0
2017.08.01 (213) 21:30:11    3.3   238.0   269.0
2017.08.01 (213) 21:34:59    3.4   233.0   269.0
2017.08.01 (213) 21:40:23    3.4   221.0   254.0
2017.08.01 (213) 21:45:11    3.4   216.0   248.0
2017.08.01 (213) 21:49:59    3.4   213.0   247.0
2017.08.01 (213) 21:55:23    3.2   209.0   242.0
2017.08.01 (213) 22:00:11    3.2   215.0   244.0
2017.08.01 (213) 22:04:59    3.2   216.0   242.0
2017.08.01 (213) 22:10:23    3.1   210.0   241.0
2017.08.01 (213) 22:15:11    3.1   209.0   244.0
2017.08.01 (213) 22:19:59    3.1   215.0   250.0
2017.08.01 (213) 22:25:23    2.9   210.0   236.0
2017.08.01 (213) 22:30:11    2.9   210.0   241.0
2017.08.01 (213) 22:34:59    2.8   212.0   241.0
2017.08.01 (213) 22:40:23    2.7   213.0   238.0
2017.08.01 (213) 22:45:11    2.5   209.0   231.0
2017.08.01 (213) 22:49:59    2.4   209.0   228.0
2017.08.01 (213) 22:55:23    2.4   213.0   250.0
2017.08.01 (213) 23:00:11    2.4   221.0   254.0
2017.08.01 (213) 23:04:59    2.4   221.0   257.0
2017.08.01 (213) 23:10:23    2.5   222.0   263.0
2017.08.01 (213) 23:15:11    2.4   222.0   247.0
2017.08.01 (213) 23:19:59    2.4   227.0   251.0
2017.08.01 (213) 23:25:23    2.4   225.0   256.0
2017.08.01 (213) 23:30:11    2.4   227.0   259.0
2017.08.01 (213) 23:34:59    2.4   230.0   263.0
2017.08.01 (213) 23:40:23    2.5   231.0   254.0
2017.08.01 (213) 23:45:11    2.5   219.0   244.0
2017.08.01 (213) 23:49:59    2.4   221.0   238.0
2017.08.01 (213) 23:55:23  NaN     NaN     NaN  
2017.08.02 (214) 00:00:11    2.2   225.0   242.0
2017.08.02 (214) 00:04:59    2.1   222.0   247.0
2017.08.02 (214) 00:10:23  NaN     NaN     NaN  
2017.08.02 (214) 00:15:11  NaN     NaN     NaN  
2017.08.02 (214) 00:19:59    2.1   224.0   245.0
2017.08.02 (214) 00:25:23  NaN     NaN     NaN  
2017.08.02 (214) 00:30:11  NaN     NaN     NaN  
2017.08.02 (214) 00:34:59  NaN     NaN     NaN  
2017.08.02 (214) 00:40:23  NaN     NaN     NaN  
2017.08.02 (214) 00:45:11  NaN     NaN     NaN  
2017.08.02 (214) 00:49:59  NaN     NaN     NaN  
2017.08.02 (214) 00:55:23  NaN     NaN     NaN  
2017.08.02 (214) 01:00:11  NaN     NaN     NaN  
2017.08.02 (214) 01:04:59  NaN     NaN     NaN  
2017.08.02 (214) 01:10:23  NaN     NaN     NaN  
2017.08.02 (214) 01:15:11  NaN     NaN     NaN  
2017.08.02 (214) 01:19:59  NaN     NaN     NaN  
2017.08.02 (214) 01:25:23  NaN     NaN     NaN  
2017.08.02 (214) 01:30:11  NaN     NaN     NaN  
2017.08.02 (214) 01:34:59  NaN     NaN     NaN  
2017.08.02 (214) 01:40:23  NaN     NaN     NaN  
2017.08.02 (214) 01:45:11  NaN     NaN     NaN  
2017.08.02 (214) 01:49:59  NaN     NaN     NaN  
2017.08.02 (214) 01:55:23  NaN     NaN     NaN  
2017.08.02 (214) 02:00:11  NaN     NaN     NaN  
2017.08.02 (214) 02:04:59  NaN     NaN     NaN  
2017.08.02 (214) 02:10:23  NaN     NaN     NaN  
2017.08.02 (214) 02:15:11  NaN     NaN     NaN  
2017.08.02 (214) 02:19:59  NaN     NaN     NaN  
2017.08.02 (214) 02:25:23  NaN     NaN     NaN  
2017.08.02 (214) 02:30:11  NaN     NaN     NaN  
2017.08.02 (214) 02:34:59  NaN     NaN     NaN  
2017.08.02 (214) 02:40:23  NaN     NaN     NaN  
2017.08.02 (214) 02:45:11  NaN     NaN     NaN  
2017.08.02 (214) 02:49:59  NaN     NaN     NaN  
2017.08.02 (214) 02:55:23  NaN     NaN     NaN  
2017.08.02 (214) 03:00:11  NaN     NaN     NaN  
2017.08.02 (214) 03:04:59  NaN     NaN     NaN  
2017.08.02 (214) 03:10:23  NaN     NaN     NaN  
2017.08.02 (214) 03:15:11  NaN     NaN     NaN  
2017.08.02 (214) 03:19:59  NaN     NaN     NaN  
2017.08.02 (214) 03:25:23  NaN     NaN     NaN  
2017.08.02 (214) 03:30:11  NaN     NaN     NaN  
2017.08.02 (214) 03:34:59  NaN     NaN     NaN  
2017.08.02 (214) 03:40:23  NaN     NaN     NaN  
2017.08.02 (214) 03:45:11  NaN     NaN     NaN  
2017.08.02 (214) 03:49:59  NaN     NaN     NaN  
2017.08.02 (214) 03:55:23  NaN     NaN     NaN  
