yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.01 (213) 13:25:23    5.2   172.0   293.0
2017.08.01 (213) 13:30:11    5.2   167.0   290.0
2017.08.01 (213) 13:34:59    5.1   166.0   285.0
2017.08.01 (213) 13:40:23    5.2   173.0   286.0
2017.08.01 (213) 13:45:11    5.1   147.0   297.0
2017.08.01 (213) 13:49:59    5.1   172.0   306.0
2017.08.01 (213) 13:55:23    5.0   167.0   306.0
2017.08.01 (213) 14:00:11    5.1   161.0   302.0
2017.08.01 (213) 14:04:59    5.1   176.0   320.0
2017.08.01 (213) 14:10:23    5.2   172.0   320.0
2017.08.01 (213) 14:15:11    5.3   163.0   323.0
2017.08.01 (213) 14:19:59    5.2   158.0   337.0
2017.08.01 (213) 14:25:23    5.3   152.0   323.0
2017.08.01 (213) 14:30:11    5.4   152.0   308.0
2017.08.01 (213) 14:34:59    5.5   163.0   308.0
2017.08.01 (213) 14:40:23    5.6   143.0   299.0
2017.08.01 (213) 14:45:11    5.6   156.0   300.0
2017.08.01 (213) 14:49:59    5.6   156.0   296.0
2017.08.01 (213) 14:55:23    5.3   156.0   299.0
2017.08.01 (213) 15:00:11    5.4   150.0   305.0
2017.08.01 (213) 15:04:59    5.4   149.0   300.0
2017.08.01 (213) 15:10:23    5.3   146.0   297.0
2017.08.01 (213) 15:15:11    5.4   144.0   305.0
2017.08.01 (213) 15:19:59    5.2   147.0   309.0
2017.08.01 (213) 15:25:23    5.2   199.0   306.0
2017.08.01 (213) 15:30:11    5.2   150.0   300.0
2017.08.01 (213) 15:34:59    5.2   195.0   291.0
2017.08.01 (213) 15:40:23    5.2   149.0   311.0
2017.08.01 (213) 15:45:11    5.2   149.0   302.0
2017.08.01 (213) 15:49:59    5.5   147.0   335.0
2017.08.01 (213) 15:55:23    5.4   144.0   332.0
2017.08.01 (213) 16:00:11    5.3   144.0   328.0
2017.08.01 (213) 16:04:59    5.2   184.0   328.0
2017.08.01 (213) 16:10:23  NaN     179.0   NaN  
2017.08.01 (213) 16:15:11    5.2   181.0   300.0
2017.08.01 (213) 16:19:59    5.3   184.0   297.0
2017.08.01 (213) 16:25:23    5.2   184.0   300.0
2017.08.01 (213) 16:30:11    5.1   189.0   296.0
2017.08.01 (213) 16:34:59    4.9   189.0   305.0
2017.08.01 (213) 16:40:23    4.8   178.0   319.0
2017.08.01 (213) 16:45:11    4.9   175.0   335.0
2017.08.01 (213) 16:49:59    5.2   181.0   354.0
2017.08.01 (213) 16:55:23    5.2   181.0   329.0
2017.08.01 (213) 17:00:11    5.1   181.0   309.0
2017.08.01 (213) 17:04:59    5.3   172.0   305.0
2017.08.01 (213) 17:10:23    4.9   178.0   303.0
2017.08.01 (213) 17:15:11    5.0   199.0   319.0
2017.08.01 (213) 17:19:59    4.9   187.0   308.0
2017.08.01 (213) 17:25:23    4.9   187.0   293.0
2017.08.01 (213) 17:30:11    4.9   167.0   211.0
2017.08.01 (213) 17:34:59    4.8   158.0   221.0
2017.08.01 (213) 17:40:23    4.8   141.0   286.0
2017.08.01 (213) 17:45:11    4.7   187.0   306.0
2017.08.01 (213) 17:49:59    4.9   196.0   334.0
2017.08.01 (213) 17:55:23    4.9   163.0   322.0
2017.08.01 (213) 18:00:11    4.9   187.0   346.0
2017.08.01 (213) 18:04:59    5.0   195.0   332.0
2017.08.01 (213) 18:10:23    5.3   192.0   345.0
2017.08.01 (213) 18:15:11    5.3   196.0   343.0
2017.08.01 (213) 18:19:59    5.4   179.0   326.0
2017.08.01 (213) 18:25:23    5.4   187.0   323.0
2017.08.01 (213) 18:30:11    5.5   190.0   311.0
2017.08.01 (213) 18:34:59    5.4   189.0   299.0
2017.08.01 (213) 18:40:23    5.5   196.0   302.0
2017.08.01 (213) 18:45:11    5.4   185.0   303.0
2017.08.01 (213) 18:49:59    5.4   182.0   303.0
2017.08.01 (213) 18:55:23    5.4   182.0   311.0
2017.08.01 (213) 19:00:11    5.3   193.0   319.0
2017.08.01 (213) 19:04:59    5.5   207.0   325.0
2017.08.01 (213) 19:10:23    5.6   184.0   314.0
2017.08.01 (213) 19:15:11    5.6   172.0   309.0
2017.08.01 (213) 19:19:59    5.7   187.0   296.0
2017.08.01 (213) 19:25:23    5.9   192.0   293.0
2017.08.01 (213) 19:30:11    5.7   198.0   290.0
2017.08.01 (213) 19:34:59    5.8   199.0   282.0
2017.08.01 (213) 19:40:23    5.8   222.0   282.0
2017.08.01 (213) 19:45:11    5.8   210.0   282.0
2017.08.01 (213) 19:49:59    6.0   205.0   279.0
2017.08.01 (213) 19:55:23    5.8   236.0   264.0
2017.08.01 (213) 20:00:11    5.8   199.0   260.0
2017.08.01 (213) 20:04:59    5.8   216.0   257.0
2017.08.01 (213) 20:10:23    5.6   242.0   257.0
2017.08.01 (213) 20:15:11    5.6   253.0   265.0
2017.08.01 (213) 20:19:59    5.6   216.0   256.0
2017.08.01 (213) 20:25:23    5.8   207.0   244.0
2017.08.01 (213) 20:30:11    5.8   201.0   247.0
2017.08.01 (213) 20:34:59    5.7   213.0   241.0
2017.08.01 (213) 20:40:23    5.7   230.0   244.0
2017.08.01 (213) 20:45:11    5.6   234.0   233.0
2017.08.01 (213) 20:49:59    5.7   234.0   236.0
2017.08.01 (213) 20:55:23    5.4   225.0   225.0
2017.08.01 (213) 21:00:11    5.1   219.0   236.0
2017.08.01 (213) 21:04:59    4.9   218.0   250.0
2017.08.01 (213) 21:10:23    4.7   210.0   244.0
2017.08.01 (213) 21:15:11    4.5   213.0   251.0
2017.08.01 (213) 21:19:59    4.3   210.0   265.0
2017.08.01 (213) 21:25:23    4.3   218.0   282.0
2017.08.01 (213) 21:30:11    4.2   222.0   291.0
2017.08.01 (213) 21:34:59    4.2   228.0   280.0
2017.08.01 (213) 21:40:23    4.2   237.0   282.0
2017.08.01 (213) 21:45:11    4.3   219.0   290.0
2017.08.01 (213) 21:49:59    4.3   237.0   282.0
2017.08.01 (213) 21:55:23    4.4   241.0   291.0
2017.08.01 (213) 22:00:11    4.2   237.0   273.0
2017.08.01 (213) 22:04:59    4.4   234.0   270.0
2017.08.01 (213) 22:10:23    4.6   227.0   268.0
2017.08.01 (213) 22:15:11    4.7   230.0   276.0
2017.08.01 (213) 22:19:59    4.8   221.0   280.0
2017.08.01 (213) 22:25:23    4.7   222.0   276.0
2017.08.01 (213) 22:30:11    4.8   219.0   257.0
2017.08.01 (213) 22:34:59    4.9   215.0   264.0
2017.08.01 (213) 22:40:23    4.8   213.0   254.0
2017.08.01 (213) 22:45:11    4.8   216.0   251.0
2017.08.01 (213) 22:49:59    4.6   210.0   253.0
2017.08.01 (213) 22:55:23    4.5   205.0   239.0
2017.08.01 (213) 23:00:11    4.3   207.0   251.0
2017.08.01 (213) 23:04:59    4.2   205.0   253.0
2017.08.01 (213) 23:10:23    4.2   204.0   251.0
2017.08.01 (213) 23:15:11    4.1   207.0   254.0
2017.08.01 (213) 23:19:59    4.0   205.0   256.0
2017.08.01 (213) 23:25:23    3.9   208.0   247.0
2017.08.01 (213) 23:30:11    3.8   207.0   257.0
2017.08.01 (213) 23:34:59    3.7   207.0   248.0
2017.08.01 (213) 23:40:23    3.7   207.0   259.0
2017.08.01 (213) 23:45:11    3.5   207.0   257.0
2017.08.01 (213) 23:49:59    3.5   210.0   244.0
2017.08.01 (213) 23:55:23    3.2   210.0   237.0
2017.08.02 (214) 00:00:11    3.2   201.0   227.0
2017.08.02 (214) 00:04:59    3.1   208.0   233.0
2017.08.02 (214) 00:10:23    3.1   207.0   241.0
2017.08.02 (214) 00:15:11    3.0   204.0   237.0
2017.08.02 (214) 00:19:59    2.7   199.0   237.0
2017.08.02 (214) 00:25:23    2.6   210.0   248.0
2017.08.02 (214) 00:30:11    2.6   216.0   253.0
2017.08.02 (214) 00:34:59    2.4   205.0   234.0
2017.08.02 (214) 00:40:23    2.3   211.0   271.0
2017.08.02 (214) 00:45:11    2.3   241.0   264.0
