yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.01 (213) 13:49:59    5.1   198.0   319.0
2017.08.01 (213) 13:55:23    5.1   198.0   328.0
2017.08.01 (213) 14:00:11    5.1   205.0   333.0
2017.08.01 (213) 14:04:59    5.1   193.0   312.0
2017.08.01 (213) 14:10:23    5.1   181.0   331.0
2017.08.01 (213) 14:15:11    5.2   188.0   323.0
2017.08.01 (213) 14:19:59    5.2   181.0   366.0
2017.08.01 (213) 14:25:23    5.3   174.0   335.0
2017.08.01 (213) 14:30:11    5.4   195.0   309.0
2017.08.01 (213) 14:34:59    5.5   179.0   319.0
2017.08.01 (213) 14:40:23    5.5   179.0   316.0
2017.08.01 (213) 14:45:11    5.4   181.0   326.0
2017.08.01 (213) 14:49:59    5.6   181.0   304.0
2017.08.01 (213) 14:55:23    5.3   191.0   314.0
2017.08.01 (213) 15:00:11    5.4   202.0   312.0
2017.08.01 (213) 15:04:59    5.5   207.0   319.0
2017.08.01 (213) 15:10:23    5.3   214.0   314.0
2017.08.01 (213) 15:15:11    5.4   212.0   338.0
2017.08.01 (213) 15:19:59    5.3   217.0   316.0
2017.08.01 (213) 15:25:23    5.3   207.0   331.0
2017.08.01 (213) 15:30:11    5.2   209.0   338.0
2017.08.01 (213) 15:34:59    5.2   205.0   323.0
2017.08.01 (213) 15:40:23    5.1   207.0   345.0
2017.08.01 (213) 15:45:11    5.0   212.0   335.0
2017.08.01 (213) 15:49:59    5.1   209.0   342.0
2017.08.01 (213) 15:55:23    5.2   202.0   364.0
2017.08.01 (213) 16:00:11    5.2   205.0   335.0
2017.08.01 (213) 16:04:59    5.3   193.0   342.0
2017.08.01 (213) 16:10:23    5.3   191.0   347.0
2017.08.01 (213) 16:15:11    5.3   179.0   331.0
2017.08.01 (213) 16:19:59    5.2   186.0   342.0
2017.08.01 (213) 16:25:23    5.2   186.0   342.0
2017.08.01 (213) 16:30:11    5.0   198.0   328.0
2017.08.01 (213) 16:34:59    4.9   193.0   321.0
2017.08.01 (213) 16:40:23    4.8   191.0   243.0
2017.08.01 (213) 16:45:11    4.9   169.0   255.0
2017.08.01 (213) 16:49:59    5.1   191.0   359.0
2017.08.01 (213) 16:55:23    4.9   212.0   357.0
2017.08.01 (213) 17:00:11    5.1   209.0   326.0
2017.08.01 (213) 17:04:59    5.0   198.0   333.0
2017.08.01 (213) 17:10:23    4.9   205.0   316.0
2017.08.01 (213) 17:15:11    4.9   202.0   309.0
2017.08.01 (213) 17:19:59    5.0   198.0   316.0
2017.08.01 (213) 17:25:23    5.0   207.0   328.0
2017.08.01 (213) 17:30:11    5.0   202.0   295.0
2017.08.01 (213) 17:34:59    4.7   195.0   233.0
